species,lat_original,lon_original,error_original,date,year,month,day,sex,lat_higher_res,long_higher_res,error_higher_res
lasiurus_cinerius,19.789,-155.85,1,9/28/1950,1950,SEPTEMBER,28,F,19.789,-155.85,1
lasiurus_cinerius,38.972,-95.235,3,5/20/1950,1950,MAY,20,F,38.972,-95.235,3
lasiurus_cinerius,45.032,-93.338,3,8/27/1950,1950,AUGUST,27,F,45.034,-93.367,1
lasiurus_cinerius,42.441,-76.497,3,10/4/1950,1950,OCTOBER,4,F,42.426,-76.498,1
lasiurus_cinerius,41.223,-111.973,3,9/15/1950,1950,SEPTEMBER,15,F,41.184,-111.939,1
lasiurus_cinerius,26.517,-101.217,11,4/18/1951,1951,APRIL,18,F,25.659,-101.115,1
lasiurus_cinerius,34.16,-117.677,10,6/8/1951,1951,JUNE,8,F,34.197,-117.676,6
lasiurus_cinerius,32.678,-117.098,1,4/12/1951,1951,APRIL,12,F,32.678,-117.098,1
lasiurus_cinerius,40.111,-88.207,3,6/24/1951,1951,JUNE,24,F,40.111,-88.207,3
lasiurus_cinerius,40.111,-88.207,3,6/24/1951,1951,JUNE,24,F,40.111,-88.207,3
lasiurus_cinerius,40.111,-88.207,3,7/17/1951,1951,JULY,17,F,40.111,-88.207,3
lasiurus_cinerius,38.972,-95.235,3,6/3/1951,1951,JUNE,3,F,38.968,-95.242,1
lasiurus_cinerius,27.55,-101.633,11,3/29/1952,1952,MARCH,29,F,28.3,-101.502,10
lasiurus_cinerius,19.467,-102.25,5,3/9/1952,1952,MARCH,9,F,19.467,-102.25,5
lasiurus_cinerius,35.238,-115.498,1,4/13/1952,1952,APRIL,13,F,35.163,-115.441,1
lasiurus_cinerius,40.006,-105.264,1,6/28/1952,1952,JUNE,28,F,40.006,-105.264,1
lasiurus_cinerius,38.973,-86.129,1,7/18/1952,1952,JULY,18,F,38.973,-86.129,1
lasiurus_cinerius,39.333,-96.7,50,6/16/1952,1952,JUNE,16,F,39.183,-96.574,3
lasiurus_cinerius,40.699,-99.081,1,4/30/1952,1952,MAY,30,F,40.699,-99.081,1
lasiurus_cinerius,37.872,-122.272,3,11/1/1953,1953,NOVEMBER,1,F,37.872,-122.272,3
lasiurus_cinerius,40.083,-105.23,5,10/12/1953,1953,OCTOBER,12,F,40.078,-105.223,2.5
lasiurus_cinerius,39.772,-101.799,12.5,3/26/1953,1953,MARCH,26,F,39.954,-101.931,3
lasiurus_cinerius,42.467,-103.767,50,7/24/1953,1953,JULY,24,F,42.467,-103.767,50
lasiurus_cinerius,42.683,-103.412,10,7/27/1953,1953,JULY,27,F,42.706,-103.586,1
lasiurus_cinerius,42.683,-103.412,10,7/27/1953,1953,JULY,27,F,42.706,-103.586,1
lasiurus_cinerius,42.893,-103.5,4,7/21/1953,1953,JULY,21,F,42.876,-103.552,2
lasiurus_cinerius,40.8,-96.667,3,6/5/1953,1953,JUNE,5,F,40.807,-96.681,3
lasiurus_cinerius,39.474,-118.776,3,8/29/1953,1953,AUGUST,29,F,39.461,-118.84,2
lasiurus_cinerius,32.222,-110.926,16,4/23/1954,1954,APRIL,23,F,32.24,-110.72,7
lasiurus_cinerius,39.818,-84.996,3,6/27/1954,1954,JUNE,27,F,39.803,-84.97,1
lasiurus_cinerius,39.818,-84.996,3,7/4/1954,1954,JULY,4,F,39.803,-84.97,1
lasiurus_cinerius,39.818,-84.996,3,7/7/1954,1954,JULY,7,F,39.803,-84.97,1
lasiurus_cinerius,38.972,-95.235,3,6/22/1954,1954,JUNE,22,F,38.972,-95.235,3
lasiurus_cinerius,38.972,-95.235,3,6/22/1954,1954,JUNE,22,F,38.972,-95.235,3
lasiurus_cinerius,38.972,-95.235,3,6/22/1954,1954,JUNE,22,F,38.972,-95.235,3
lasiurus_cinerius,39.474,-118.776,3.5,9/7/1954,1954,SEPTEMBER,7,F,39.461,-118.84,2
lasiurus_cinerius,39.903,-84.945,3,4/18/1955,1955,APRIL,18,F,39.903,-84.948,1
lasiurus_cinerius,35.084,-106.651,4,9/10/1955,1955,SEPTEMBER,10,F,35.084,-106.651,4
lasiurus_cinerius,36.116,-97.058,3,9/28/1955,1955,SEPTEMBER,28,F,36.116,-97.058,3
lasiurus_cinerius,49.6,-119.667,1,8/30/1956,1956,AUGUST,30,F,49.605,-119.675,1
lasiurus_cinerius,31.883,-109.203,0.5,3/31/1956,1956,MARCH,31,F,31.883,-109.203,0.5
lasiurus_cinerius,32.715,-117.156,5,3/28/1956,1956,MARCH,28,F,32.715,-117.156,5
lasiurus_cinerius,38.545,-121.739,3,3/1/1956,1956,MARCH,1,F,38.544,-121.741,2
lasiurus_cinerius,39.715,-88.472,1,10/5/1956,1956,OCTOBER,5,F,39.715,-88.472,1
lasiurus_cinerius,44.98,-93.264,5,5/20/1956,1956,MAY,20,F,44.98,-93.264,5
lasiurus_cinerius,40.8,-96.667,3,6/19/1956,1956,JUNE,19,F,40.807,-96.681,3
lasiurus_cinerius,40.8,-96.667,3,6/19/1956,1956,JUNE,19,F,40.807,-96.681,3
lasiurus_cinerius,40.699,-99.081,1,7/5/1956,1956,JULY,5,F,40.699,-99.081,1
lasiurus_cinerius,36.616,-100.522,3,8/4/1956,1956,AUGUST,4,F,36.573,-100.556,1
lasiurus_cinerius,34.06,-95.003,3,7/29/1956,1956,JULY,29,F,34.068,-94.942,1
lasiurus_cinerius,49.7,-112.833,1,7/31/1957,1957,JULY,31,F,53.882,-110.675,1
lasiurus_cinerius,49.6,-119.667,1,8/30/1957,1957,AUGUST,30,F,49.605,-119.675,1
lasiurus_cinerius,36.618,-121.916,1,12/20/1957,1957,DECEMBER,20,F,36.624,-121.926,1
lasiurus_cinerius,36.618,-121.916,1,12/27/1957,1957,DECEMBER,27,F,36.624,-121.926,1
lasiurus_cinerius,41.343,-97.238,2,6/1/1957,1957,JUNE,1,F,41.378,-97.273,1
lasiurus_cinerius,41.903,-100.269,1,7/6/1957,1957,JULY,6,F,41.901,-100.291,1
lasiurus_cinerius,35.159,-106.63,2,8/25/1957,1957,AUGUST,25,F,35.19,-106.646,1
lasiurus_cinerius,33.578,-101.855,3,4/8/1957,1957,APRIL,8,F,33.578,-101.855,5
lasiurus_cinerius,32.236,-110.984,5,4/29/1958,1958,APRIL,29,F,32.134,-110.993,1
lasiurus_cinerius,37.775,-122.418,11,9/17/1958,1958,SEPTEMBER,17,F,37.755,-122.456,11
lasiurus_cinerius,38.973,-123.115,4,4/20/1958,1958,APRIL,20,F,38.979,-123.06,1
lasiurus_cinerius,33.776,-84.316,1,1/10/1958,1958,JANUARY,10,F,33.776,-84.316,1
lasiurus_cinerius,40.308,-88.156,1,8/11/1958,1958,AUGUST,11,F,40.307,-88.132,1
lasiurus_cinerius,44.978,-93.191,1,6/26/1958,1958,JUNE,26,F,44.978,-93.191,1
lasiurus_cinerius,44.978,-93.191,1,6/26/1958,1958,JUNE,26,F,44.978,-93.191,1
lasiurus_cinerius,37.833,-92.2,50,9/14/1958,1958,SEPTEMBER,14,F,37.756,-92.248,1
lasiurus_cinerius,40.537,-112.744,3,5/1/1958,1958,MAY,1,F,40.584,-112.744,1
lasiurus_cinerius,41.685,-85.28,2,6/24/1959,1959,JUNE,24,F,41.694,-85.31,1
lasiurus_cinerius,30.894,-89.829,1,3/17/1959,1959,MARCH,17,F,30.894,-89.829,1
lasiurus_cinerius,47.198,-95.202,5,6/30/1959,1959,JUNE,30,F,47.198,-95.202,5
lasiurus_cinerius,35.168,-106.365,1,9/3/1959,1959,SEPTEMBER,3,F,35.168,-106.365,1
lasiurus_cinerius,29.424,-98.493,5,10/16/1959,1959,OCTOBER,16,F,29.424,-98.493,5
lasiurus_cinerius,32.322,-110.809,3,9/26/1960,1960,SEPTEMBER,26,F,32.322,-110.809,1
lasiurus_cinerius,34.052,-118.243,11,4/20/1960,1960,APRIL,20,F,34.113,-118.307,1
lasiurus_cinerius,34.017,-116.289,11,4/8/1960,1960,APRIL,8,F,34.017,-116.289,3
lasiurus_cinerius,40.417,-86.875,1,6/15/1960,1960,JUNE,15,F,40.417,-86.875,
lasiurus_cinerius,39.786,-87.39,1,8/9/1960,1960,AUGUST,9,F,39.786,-87.39,
lasiurus_cinerius,42.733,-84.556,1,6/1/1960,1960,JUNE,1,F,42.733,-84.556,10
lasiurus_cinerius,47.222,-109.231,1,7/27/1960,1960,JULY,27,F,47.218,-109.218,1
lasiurus_cinerius,35.187,-106.618,3,4/14/1960,1960,APRIL,14,F,35.205,-106.703,1
lasiurus_cinerius,33.317,-108.883,2,5/13/1960,1960,MAY,13,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/13/1960,1960,MAY,13,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/13/1960,1960,MAY,13,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/13/1960,1960,MAY,13,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/13/1960,1960,MAY,13,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/13/1960,1960,MAY,13,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/13/1960,1960,MAY,13,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/13/1960,1960,MAY,13,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/13/1960,1960,MAY,13,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,33.317,-108.883,2,5/15/1960,1960,MAY,15,F,33.323,-108.878,1
lasiurus_cinerius,35.168,-106.365,1,6/20/1960,1960,JUNE,20,F,35.168,-106.365,1
lasiurus_cinerius,35.762,-105.932,1,8/29/1960,1960,AUGUST,29,F,35.762,-105.932,1
lasiurus_cinerius,34.955,-107.184,1,4/11/1960,1960,APRIL,11,F,34.955,-107.184,1
lasiurus_cinerius,40.264,-76.967,3,1/27/1960,1960,JANUARY,27,F,39.993,-75.21,1
lasiurus_cinerius,35.494,-85.013,14,4/29/1960,1960,APRIL,29,F,35.502,-85.254,1
lasiurus_cinerius,37.872,-122.272,3,11/24/1961,1961,NOVEMBER,24,F,37.872,-122.272,3
